Video Time (hh:min:sec.millis),Face Id,Face name,Frame index,Angry,Contempt,Disgust,Fear,Happy,Neutral,Sad,Surprise,Dominant Emotion,Arousal,Valence,Intensity
00:00:01:450,1,Face 1,43,0.0134,0.1776,0.0056,0.0047,0.4283,0.3139,0.0255,0.0310,happy,0.00,0.00,0.00
00:00:01:484,1,Face 1,44,0.0407,0.1782,0.0054,0.0046,0.1599,0.5271,0.0449,0.0391,neutral,0.00,-0.00,0.00
00:00:01:517,1,Face 1,45,0.0494,0.2369,0.0037,0.0032,0.1736,0.4756,0.0340,0.0238,neutral,0.00,-0.00,0.00
00:00:01:551,1,Face 1,46,0.0809,0.0479,0.0193,0.0084,0.0704,0.7081,0.0289,0.0360,neutral,0.00,-0.00,0.00
00:00:01:585,1,Face 1,47,0.1169,0.0795,0.0063,0.0052,0.0578,0.6722,0.0374,0.0248,neutral,0.00,-0.00,0.00
00:00:01:619,1,Face 1,48,0.1202,0.0408,0.0024,0.0009,0.0144,0.7829,0.0314,0.0071,neutral,0.00,-0.00,0.00
00:00:01:652,1,Face 1,49,0.1106,0.0260,0.0019,0.0009,0.0092,0.8207,0.0192,0.0114,neutral,0.00,-0.00,0.00
00:00:01:686,1,Face 1,50,0.0970,0.0255,0.0025,0.0007,0.0078,0.8397,0.0192,0.0077,neutral,0.00,-0.00,0.00
00:00:01:720,1,Face 1,51,0.1177,0.0182,0.0021,0.0005,0.0050,0.8373,0.0127,0.0065,neutral,0.00,-0.00,0.00
00:00:01:753,1,Face 1,52,0.0918,0.0637,0.0049,0.0023,0.0472,0.7482,0.0290,0.0131,neutral,0.00,-0.00,0.00
00:00:01:787,1,Face 1,53,0.1379,0.0487,0.0018,0.0011,0.0362,0.7397,0.0297,0.0049,neutral,0.00,-0.00,0.00
00:00:01:821,1,Face 1,54,0.0179,0.0171,0.0007,0.0006,0.0482,0.8956,0.0133,0.0066,neutral,0.00,0.00,0.00
00:00:01:855,1,Face 1,55,0.0244,0.0238,0.0023,0.0011,0.0352,0.8114,0.0953,0.0065,neutral,-0.00,-0.00,0.00
00:00:01:888,1,Face 1,56,0.0256,0.0167,0.0028,0.0026,0.0266,0.8624,0.0546,0.0087,neutral,-0.00,-0.00,0.00
00:00:01:922,1,Face 1,57,0.0311,0.0156,0.0017,0.0011,0.0190,0.8755,0.0519,0.0041,neutral,-0.00,-0.00,0.00
00:00:01:956,1,Face 1,58,0.0408,0.0113,0.0028,0.0031,0.0274,0.8608,0.0196,0.0341,neutral,0.00,-0.00,0.00
00:00:01:990,1,Face 1,59,0.0412,0.0062,0.0018,0.0024,0.0038,0.8931,0.0365,0.0150,neutral,0.00,-0.00,0.00
00:00:02:023,1,Face 1,60,0.0123,0.0085,0.0004,0.0014,0.0200,0.8928,0.0442,0.0204,neutral,0.00,-0.00,0.00
00:00:02:057,1,Face 1,61,0.0223,0.0103,0.0012,0.0013,0.0131,0.8575,0.0814,0.0128,neutral,-0.00,-0.00,0.00
00:00:02:091,1,Face 1,62,0.0406,0.0038,0.0016,0.0013,0.0029,0.8779,0.0520,0.0199,neutral,0.00,-0.00,0.00
00:00:02:124,1,Face 1,63,0.0431,0.0081,0.0040,0.0035,0.0027,0.8655,0.0441,0.0290,neutral,0.00,-0.00,0.00
00:00:02:158,1,Face 1,64,0.0455,0.0147,0.0103,0.0069,0.0123,0.8246,0.0490,0.0368,neutral,0.00,-0.00,0.00
00:00:02:192,1,Face 1,65,0.0337,0.0040,0.0077,0.0106,0.0016,0.7392,0.1814,0.0217,neutral,-0.00,-0.00,0.00
00:00:02:226,1,Face 1,66,0.0276,0.0159,0.0112,0.0075,0.0122,0.7947,0.1008,0.0300,neutral,-0.00,-0.00,0.00
00:00:02:259,1,Face 1,67,0.0231,0.0067,0.0061,0.0110,0.0046,0.8216,0.0809,0.0460,neutral,0.00,-0.00,0.00
00:00:02:293,1,Face 1,68,0.0552,0.0087,0.0103,0.0119,0.0035,0.7909,0.0633,0.0562,neutral,0.00,-0.00,0.00
00:00:02:327,1,Face 1,69,0.0488,0.0124,0.0102,0.0085,0.0049,0.7527,0.1274,0.0350,neutral,-0.00,-0.00,0.00
00:00:02:361,1,Face 1,70,0.0424,0.0076,0.0084,0.0136,0.0263,0.5994,0.0469,0.2554,neutral,0.00,0.00,0.00
00:00:02:394,1,Face 1,71,0.0243,0.0067,0.0068,0.0059,0.0099,0.7669,0.0523,0.1272,neutral,0.00,-0.00,0.00
00:00:02:428,1,Face 1,72,0.0488,0.0073,0.0099,0.0170,0.0208,0.5853,0.0476,0.2634,neutral,0.00,0.00,0.00
00:00:02:462,1,Face 1,73,0.1241,0.0088,0.0155,0.0112,0.0389,0.6713,0.0404,0.0897,neutral,0.00,-0.00,0.00
